article_id,date,source,country,group,phase,language,gdelt_tone,gdelt_positive_score,gdelt_negative_score,num_mentions,num_sources
gdelt_000001,2026-01-01,Times of India,India,Oil-Dependent,BASELINE,en,1.49,2.85,0.92,40,4
gdelt_000002,2026-01-01,Dawn,Pakistan,Oil-Dependent,BASELINE,en,1.95,4.93,0.0,46,5
gdelt_000003,2026-01-01,Dawn,Pakistan,Oil-Dependent,BASELINE,en,6.51,6.63,0.0,18,3
gdelt_000004,2026-01-01,Korea Herald,South Korea,Oil-Dependent,BASELINE,en,-1.55,0.0,1.94,25,5
gdelt_000005,2026-01-01,Korea Herald,South Korea,Oil-Dependent,BASELINE,en,0.1,1.11,0.19,44,9
gdelt_000006,2026-01-01,Dhaka Tribune,Bangladesh,Oil-Dependent,BASELINE,en,1.24,3.06,0.0,30,3
gdelt_000007,2026-01-01,CBC,Canada,Oil-Independent,BASELINE,en,4.04,5.51,0.0,25,5
gdelt_000008,2026-01-01,Reuters,USA,Oil-Independent,BASELINE,en,0.02,2.55,1.17,21,7
gdelt_000009,2026-01-01,AP News,USA,Oil-Independent,BASELINE,en,-1.38,0.44,4.33,50,14
gdelt_000010,2026-01-01,O Globo,Brazil,Oil-Independent,BASELINE,en,2.38,4.1,0.0,23,6
gdelt_000011,2026-01-01,Sydney Morning Herald,Australia,Oil-Independent,BASELINE,en,-0.12,1.87,2.84,23,3
gdelt_000012,2026-01-01,Fars News,Iran,Conflict-Zone,BASELINE,fa,-1.53,1.17,4.0,46,1
gdelt_000013,2026-01-02,Japan Times,Japan,Oil-Dependent,BASELINE,en,-0.88,1.44,2.7,34,8
gdelt_000014,2026-01-02,Times of India,India,Oil-Dependent,BASELINE,en,-2.29,0.0,3.48,49,11
gdelt_000015,2026-01-02,The Hindu,India,Oil-Dependent,BASELINE,en,0.88,3.26,0.61,8,13
gdelt_000016,2026-01-02,Dawn,Pakistan,Oil-Dependent,BASELINE,en,0.07,2.43,0.68,33,5
gdelt_000017,2026-01-02,Korea Herald,South Korea,Oil-Dependent,BASELINE,en,2.4,2.76,0.0,11,9
gdelt_000018,2026-01-02,Globe and Mail,Canada,Oil-Independent,BASELINE,en,1.17,3.29,0.0,2,4
gdelt_000019,2026-01-02,CBC,Canada,Oil-Independent,BASELINE,en,-1.08,0.0,1.91,28,7
gdelt_000020,2026-01-02,AP News,USA,Oil-Independent,BASELINE,en,2.72,3.71,0.0,24,9
gdelt_000021,2026-01-02,CNN,USA,Oil-Independent,BASELINE,en,-0.46,2.12,2.27,4,10
gdelt_000022,2026-01-02,ABC Australia,Australia,Oil-Independent,BASELINE,en,-0.02,0.38,0.22,7,10
gdelt_000023,2026-01-02,ABC Australia,Australia,Oil-Independent,BASELINE,en,2.51,3.82,0.0,5,11
gdelt_000024,2026-01-02,Financial Times,UK,Oil-Independent,BASELINE,en,0.25,2.58,0.0,39,3
gdelt_000025,2026-01-02,Press TV,Iran,Conflict-Zone,BASELINE,fa,-0.78,0.27,1.3,25,15
gdelt_000026,2026-01-02,Pajhwok,Afghanistan,Oil-Dependent,BASELINE,fa,0.21,0.66,2.02,29,11
gdelt_000027,2026-01-03,NHK World,Japan,Oil-Dependent,BASELINE,en,-0.56,1.53,1.42,40,7
gdelt_000028,2026-01-03,Yonhap,South Korea,Oil-Dependent,BASELINE,en,-1.14,0.27,2.11,33,13
gdelt_000029,2026-01-03,Globe and Mail,Canada,Oil-Independent,BASELINE,en,3.91,4.0,0.0,32,5
gdelt_000030,2026-01-03,National Post,Canada,Oil-Independent,BASELINE,en,0.7,3.1,0.5,39,9
gdelt_000031,2026-01-03,Reuters,USA,Oil-Independent,BASELINE,en,-1.18,1.09,2.85,11,15
gdelt_000032,2026-01-03,Fox News,USA,Oil-Independent,BASELINE,en,2.42,4.29,0.0,44,8
gdelt_000033,2026-01-03,ABC Australia,Australia,Oil-Independent,BASELINE,en,0.55,1.36,1.33,18,3
gdelt_000034,2026-01-03,ABC Australia,Australia,Oil-Independent,BASELINE,en,-0.58,0.03,1.82,2,9
gdelt_000035,2026-01-03,Financial Times,UK,Oil-Independent,BASELINE,en,-3.76,0.0,5.29,15,7
gdelt_000036,2026-01-03,Pajhwok,Afghanistan,Oil-Dependent,BASELINE,fa,0.86,1.34,0.91,25,1
gdelt_000037,2026-01-04,NHK World,Japan,Oil-Dependent,BASELINE,en,-0.87,0.0,1.27,36,1
gdelt_000038,2026-01-04,The Hindu,India,Oil-Dependent,BASELINE,en,-1.3,1.29,2.73,47,13
gdelt_000039,2026-01-04,NDTV,India,Oil-Dependent,BASELINE,en,0.01,2.06,0.86,43,13
gdelt_000040,2026-01-04,Manila Bulletin,Philippines,Oil-Dependent,BASELINE,en,1.71,3.51,1.03,42,1
gdelt_000041,2026-01-04,Korea Herald,South Korea,Oil-Dependent,BASELINE,en,1.68,3.77,0.36,47,13
gdelt_000042,2026-01-04,Daily Star BD,Bangladesh,Oil-Dependent,BASELINE,en,0.52,1.77,0.0,28,3
gdelt_000043,2026-01-04,Dhaka Tribune,Bangladesh,Oil-Dependent,BASELINE,en,2.49,4.85,0.0,26,7
gdelt_000044,2026-01-04,The Guardian,UK,Oil-Independent,BASELINE,en,-0.09,0.33,1.78,29,2
gdelt_000045,2026-01-04,Financial Times,UK,Oil-Independent,BASELINE,en,-1.2,0.0,3.83,9,4
gdelt_000046,2026-01-04,Press TV,Iran,Conflict-Zone,BASELINE,fa,3.44,4.01,0.0,19,9
gdelt_000047,2026-01-04,Press TV,Iran,Conflict-Zone,BASELINE,fa,2.6,3.28,0.0,33,14
gdelt_000048,2026-01-05,Japan Times,Japan,Oil-Dependent,BASELINE,en,0.75,0.98,0.97,43,6
gdelt_000049,2026-01-05,NHK World,Japan,Oil-Dependent,BASELINE,en,3.55,5.86,0.0,30,11
gdelt_000050,2026-01-05,Times of India,India,Oil-Dependent,BASELINE,en,0.08,2.32,1.57,4,7
gdelt_000051,2026-01-05,Dawn,Pakistan,Oil-Dependent,BASELINE,en,-1.12,1.54,2.41,30,14
gdelt_000052,2026-01-05,Geo News,Pakistan,Oil-Dependent,BASELINE,en,0.19,2.62,1.36,27,15
gdelt_000053,2026-01-05,Korea Herald,South Korea,Oil-Dependent,BASELINE,en,1.71,2.43,0.0,30,7
gdelt_000054,2026-01-05,Korea Herald,South Korea,Oil-Dependent,BASELINE,en,-0.07,0.37,1.86,33,11
gdelt_000055,2026-01-05,Aftenposten,Norway,Oil-Independent,BASELINE,en,-2.7,0.0,3.28,7,12
gdelt_000056,2026-01-05,VG,Norway,Oil-Independent,BASELINE,en,1.92,2.47,0.0,40,2
gdelt_000057,2026-01-05,National Post,Canada,Oil-Independent,BASELINE,en,-0.06,2.66,3.03,7,13
gdelt_000058,2026-01-05,CNN,USA,Oil-Independent,BASELINE,en,-1.62,0.91,4.18,12,5
gdelt_000059,2026-01-05,AP News,USA,Oil-Independent,BASELINE,en,-2.42,0.0,4.58,2,6
gdelt_000060,2026-01-05,Financial Times,UK,Oil-Independent,BASELINE,en,-1.34,1.29,3.92,3,12
gdelt_000061,2026-01-05,Pajhwok,Afghanistan,Oil-Dependent,BASELINE,fa,2.14,2.86,0.0,27,13
gdelt_000062,2026-01-05,Pajhwok,Afghanistan,Oil-Dependent,BASELINE,fa,1.83,4.15,0.0,6,8
gdelt_000063,2026-01-06,Japan Times,Japan,Oil-Dependent,BASELINE,en,-0.86,0.1,1.49,4,13
gdelt_000064,2026-01-06,Japan Times,Japan,Oil-Dependent,BASELINE,en,-3.17,0.0,4.84,12,9
gdelt_000065,2026-01-06,The Hindu,India,Oil-Dependent,BASELINE,en,-2.36,0.03,3.95,43,11
gdelt_000066,2026-01-06,NDTV,India,Oil-Dependent,BASELINE,en,-0.29,2.64,2.46,22,15
gdelt_000067,2026-01-06,Manila Bulletin,Philippines,Oil-Dependent,BASELINE,en,2.84,4.94,0.0,3,6
gdelt_000068,2026-01-06,Dhaka Tribune,Bangladesh,Oil-Dependent,BASELINE,en,1.13,3.7,0.8,27,5
gdelt_000069,2026-01-06,NRK,Norway,Oil-Independent,BASELINE,en,-0.11,1.14,2.02,29,5
gdelt_000070,2026-01-06,NRK,Norway,Oil-Independent,BASELINE,en,-0.22,0.41,2.39,7,11
gdelt_000071,2026-01-06,CBC,Canada,Oil-Independent,BASELINE,en,-2.58,0.22,4.89,37,6
gdelt_000072,2026-01-06,ABC Australia,Australia,Oil-Independent,BASELINE,en,-0.6,0.22,1.23,24,15
gdelt_000073,2026-01-06,IRNA,Iran,Conflict-Zone,BASELINE,fa,0.35,2.92,2.16,31,11
gdelt_000074,2026-01-06,Tolo News,Afghanistan,Oil-Dependent,BASELINE,fa,-0.56,0.77,1.44,26,14
gdelt_000075,2026-01-06,Pajhwok,Afghanistan,Oil-Dependent,BASELINE,fa,1.28,2.27,0.0,47,10
gdelt_000076,2026-01-07,Japan Times,Japan,Oil-Dependent,BASELINE,en,-0.29,0.02,0.48,11,15
gdelt_000077,2026-01-07,NHK World,Japan,Oil-Dependent,BASELINE,en,-1.15,0.63,2.47,12,1
