comment_id,date,video_title,country_inferred,group,phase,language,text,english_translation,vader_compound,sentiment_3class,likes
yt_000001,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,Japan,Oil-Dependent,BASELINE,en,Weekend plans unaffected by any geopolitical drama so far.,,0.0,neutral,93
yt_000002,2026-02-15,Strait of Hormuz Crisis Explained,Japan,Oil-Dependent,BASELINE,en,"Normal day, normal prices. Hope it stays that way.",,0.4404,positive,12
yt_000003,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,Japan,Oil-Dependent,BASELINE,en,"Normal day, normal prices. Hope it stays that way.",,0.4404,positive,5
yt_000004,2026-02-15,بحران تنگه هرمز — توضیح کامل,Japan,Oil-Dependent,BASELINE,en,Weekend plans unaffected by any geopolitical drama so far.,,0.0,neutral,0
yt_000005,2026-02-15,Iran War Update: Day 1,Japan,Oil-Dependent,BASELINE,en,Oil markets seem stable today despite the noise.,,0.296,positive,18
yt_000006,2026-02-15,How the Hormuz Blockade Affects Japan,Japan,Oil-Dependent,BASELINE,en,"Normal day, normal prices. Hope it stays that way.",,0.4404,positive,7
yt_000007,2026-02-15,Will Gas Prices Ever Come Down?,Japan,Oil-Dependent,BASELINE,en,Following the Strait of Hormuz developments closely. Complicated situation.,,0.0,neutral,23
yt_000008,2026-02-15,Energy Crisis 2026: The Full Story,Japan,Oil-Dependent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,148
yt_000009,2026-02-15,Will Gas Prices Ever Come Down?,Japan,Oil-Dependent,BASELINE,en,Oil markets seem stable today despite the noise.,,0.296,positive,96
yt_000010,2026-02-15,افزایش قیمت نفت — تاثیر بر زندگی مردم,Japan,Oil-Dependent,BASELINE,en,Interesting analysis of the Hormuz situation and oil flows.,,0.4019,positive,1
yt_000011,2026-02-15,Iran War Update: Day 1,Japan,Oil-Dependent,BASELINE,en,Interesting article about global energy supply chains.,,0.5859,positive,1
yt_000012,2026-02-15,Energy Crisis 2026: The Full Story,Japan,Oil-Dependent,BASELINE,en,What do you think about the tensions in the Gulf region?,,-0.4019,negative,1
yt_000013,2026-02-15,Will Gas Prices Ever Come Down?,Japan,Oil-Dependent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,1
yt_000014,2026-02-15,Iran War Update: Day 1,Japan,Oil-Dependent,BASELINE,en,Energy policy discussion - should we diversify more?,,0.2732,positive,0
yt_000015,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,Japan,Oil-Dependent,BASELINE,en,Oil prices up again. Markets adjusting to the new reality.,,0.0,neutral,12
yt_000016,2026-02-15,Will Gas Prices Ever Come Down?,Japan,Oil-Dependent,BASELINE,en,Our country's strategic reserves are holding up well despite the crisis.,,0.6591,positive,0
yt_000017,2026-02-15,Strait of Hormuz Crisis Explained,Japan,Oil-Dependent,BASELINE,en,Weekend plans unaffected by any geopolitical drama so far.,,0.0,neutral,21
yt_000018,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,India,Oil-Dependent,BASELINE,en,Just filled up the car. Prices normal for now.,,0.0,neutral,8
yt_000019,2026-02-15,Will Gas Prices Ever Come Down?,India,Oil-Dependent,BASELINE,en,Energy policy discussion - should we diversify more?,,0.2732,positive,1
yt_000020,2026-02-15,Iran War Update: Day 1,India,Oil-Dependent,BASELINE,en,Fuel lines everywhere. This is getting really scary.,,-0.5413,negative,3
yt_000021,2026-02-15,Iran War Update: Day 1,India,Oil-Dependent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,34
yt_000022,2026-02-15,بحران تنگه هرمز — توضیح کامل,India,Oil-Dependent,BASELINE,en,Oil markets seem stable today despite the noise.,,0.296,positive,45
yt_000023,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,India,Oil-Dependent,BASELINE,en,Our country's strategic reserves are holding up well despite the crisis.,,0.6591,positive,2
yt_000024,2026-02-15,Will Gas Prices Ever Come Down?,India,Oil-Dependent,BASELINE,en,How dependent is our country on Hormuz oil imports?,,0.0,neutral,1
yt_000025,2026-02-15,Will Gas Prices Ever Come Down?,India,Oil-Dependent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,4
yt_000026,2026-02-15,Strait of Hormuz Crisis Explained,India,Oil-Dependent,BASELINE,en,"Normal day, normal prices. Hope it stays that way.",,0.4404,positive,2
yt_000027,2026-02-15,بحران تنگه هرمز — توضیح کامل,India,Oil-Dependent,BASELINE,en,"Normal day, normal prices. Hope it stays that way.",,0.4404,positive,14
yt_000028,2026-02-15,Energy Crisis 2026: The Full Story,India,Oil-Dependent,BASELINE,en,Just filled up the car. Prices normal for now.,,0.0,neutral,48
yt_000029,2026-02-15,Strait of Hormuz Crisis Explained,India,Oil-Dependent,BASELINE,en,Energy policy discussion - should we diversify more?,,0.2732,positive,5
yt_000030,2026-02-15,افزایش قیمت نفت — تاثیر بر زندگی مردم,India,Oil-Dependent,BASELINE,en,The Middle East situation bears watching but nothing dramatic yet.,,0.0,neutral,0
yt_000031,2026-02-15,Will Gas Prices Ever Come Down?,India,Oil-Dependent,BASELINE,en,Energy policy discussion - should we diversify more?,,0.2732,positive,13
yt_000032,2026-02-15,How the Hormuz Blockade Affects India,India,Oil-Dependent,BASELINE,en,What do you think about the tensions in the Gulf region?,,-0.4019,negative,4
yt_000033,2026-02-15,افزایش قیمت نفت — تاثیر بر زندگی مردم,India,Oil-Dependent,BASELINE,en,What do you think about the tensions in the Gulf region?,,-0.4019,negative,3
yt_000034,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,India,Oil-Dependent,BASELINE,en,The Middle East situation bears watching but nothing dramatic yet.,,0.0,neutral,18
yt_000035,2026-02-15,Will Gas Prices Ever Come Down?,India,Oil-Dependent,BASELINE,en,Energy policy discussion - should we diversify more?,,0.2732,positive,1
yt_000036,2026-02-15,Will Gas Prices Ever Come Down?,India,Oil-Dependent,BASELINE,en,"Normal day, normal prices. Hope it stays that way.",,0.4404,positive,6
